2019/01,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,2020/01,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수
3,사랑의 하츄핑,2024-08-07,"2,596,577,910",2.60%,"10,276,474,432","297,701","1,147,527",690,"14,411",,3,얼굴,2025-09-11,"9,599,379,010",12.30%,"9,599,379,010","932,554","932,554","1,114","53,481"
4,"안녕, 할부지",2024-09-04,"2,281,541,639",2.30%,"2,317,495,639","246,581","250,528","1,021","28,065",,4,극장판 체인소 맨: 레제편,2025-09-24,"6,128,083,630",7.90%,"6,128,083,630","579,379","579,379","1,064","21,662"
5,파일럿,2024-07-31,"2,020,981,840",2.00%,"43,091,622,701","244,276","4,702,215",840,"25,057",,5,컨저링: 마지막 의식,2025-09-03,"4,419,603,290",5.70%,"4,423,140,290","419,159","419,504",918,"27,095"
6,룩백,2024-09-05,"2,197,706,958",2.20%,"2,238,788,594","230,015","233,792",247,"16,596",,6,F1 더 무비,2025-06-25,"3,314,648,470",4.30%,"54,449,795,570","388,931","5,149,402",730,"27,081"
7,트랜스포머 ONE,2024-09-25,"2,020,916,085",2.00%,"2,023,891,085","212,168","212,495","1,060","20,899",,7,살인자 리포트,2025-09-05,"3,641,731,860",4.70%,"3,649,813,860","364,701","365,599",841,"29,993"
8,브레드이발소: 빵스타의 탄생,2024-09-14,"1,835,213,400",1.80%,"1,839,539,400","210,291","210,909",427,"9,687",,8,좀비딸,2025-07-30,"2,353,209,180",3.00%,"53,030,805,290","278,658","5,625,745",762,"23,891"
9,임영웅│아임 히어로 더 스타디움,2024-08-28,"4,860,644,000",4.90%,"8,703,911,500","174,326","308,167",214,"10,439",,9,모노노케 히메,2003-04-25,"2,077,797,070",2.70%,"2,082,795,070","169,706","170,301",589,"9,728"
10,비긴 어게인,2014-08-13,"1,435,354,050",1.40%,"1,435,354,050","152,598","152,598",475,"9,588",,10,홈캠,2025-09-10,"904,997,700",1.20%,"912,338,700","95,930","96,895",280,"7,947"
합계,,,"86,147,277,169",86.00%,"154,830,002,027","8,695,839","15,706,224","8,674","376,838",,합계,,,"64,967,012,320",83.60%,"200,851,986,510","6,336,125","19,600,291","10,173","345,912"
,,,,,,,,,,,,,,,,,,,,
2024/10,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,베테랑2,2024-09-13,"9,870,120,218",16.10%,"72,367,797,714","1,024,813","7,514,196","1,317","77,127",,,,,,,,,,,
2,베놈: 라스트 댄스,2024-10-23,"9,847,662,388",16.00%,"9,847,662,388","1,005,411","1,005,411","1,663","59,063",,,,,,,,,,,
3,대도시의 사랑법,2024-10-01,"7,297,350,650",11.90%,"7,385,538,550","774,053","783,106","1,101","65,414",,,,,,,,,,,
4,조커: 폴리 아 되,2024-10-01,"6,366,573,920",10.40%,"6,377,181,920","611,371","611,995","1,385","45,742",,,,,,,,,,,
5,와일드 로봇,2024-10-01,"5,391,693,670",8.80%,"5,502,661,670","595,334","606,448","1,062","42,261",,,,,,,,,,,
6,보통의 가족,2024-10-16,"5,094,237,020",8.30%,"5,098,206,020","547,698","548,139","1,277","48,762",,,,,,,,,,,
7,아마존 활명수,2024-10-30,"1,264,402,550",2.10%,"1,264,402,550","156,191","156,191","1,479","11,891",,,,,,,,,,,
8,노트북,2004-11-26,"1,503,168,290",2.40%,"6,139,386,490","154,395","805,807",561,"11,733",,,,,,,,,,,
9,트랜스포머 ONE,2024-09-25,"1,345,290,870",2.20%,"3,369,181,955","148,315","360,810",699,"12,948",,,,,,,,,,,
10,더러운 돈에 손대지 마라,2024-10-17,"803,575,380",1.30%,"805,501,380","86,744","86,958",796,"13,777",,,,,,,,,,,
합계,,,"48,784,074,956",79.50%,"118,157,520,637","5,104,325","12,479,061","11,340","388,718",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2024/11,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,위키드,2024-11-20,"10,592,078,200",16.00%,"10,592,078,200","1,071,533","1,071,533","1,803","50,949",,,,,,,,,,,
2,모아나 2,2024-11-27,"8,390,353,250",12.70%,"8,390,353,250","931,286","931,286","1,974","30,841",,,,,,,,,,,
3,글래디에이터 Ⅱ,2024-11-13,"8,219,618,370",12.40%,"8,221,729,370","841,741","841,964","1,769","57,272",,,,,,,,,,,
4,청설,2024-11-06,"7,139,987,740",10.80%,"7,154,611,740","763,788","765,212","1,060","59,671",,,,,,,,,,,
5,베놈: 라스트 댄스,2024-10-23,"7,350,822,100",11.10%,"17,198,484,488","752,212","1,757,623","1,326","59,389",,,,,,,,,,,
6,히든페이스,2024-11-20,"6,116,519,160",9.20%,"6,116,519,160","653,363","653,363","1,072","30,655",,,,,,,,,,,
7,아마존 활명수,2024-10-30,"4,106,732,230",6.20%,"5,371,134,780","447,950","604,141","1,411","44,930",,,,,,,,,,,
8,사흘,2024-11-14,"1,871,732,240",2.80%,"1,871,732,240","199,644","199,644",836,"19,073",,,,,,,,,,,
9,보통의 가족,2024-10-16,"938,793,050",1.40%,"6,036,999,070","101,091","649,230",661,"11,632",,,,,,,,,,,
10,대도시의 사랑법,2024-10-01,"910,438,760",1.40%,"8,295,977,310","95,142","878,248",551,"10,148",,,,,,,,,,,
합계,,,"55,637,075,100",84.00%,"79,249,619,608","5,857,750","8,352,244","12,463","374,560",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2024/12,영화명,개봉,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,,,,,,,,,,,
1,소방관,2024-12-04,"31,098,404,290",25.00%,"31,161,375,290","3,310,323","3,317,296","1,594","119,743",,,,,,,,,,,
2,하얼빈,2024-12-24,"26,249,028,320",21.10%,"26,249,028,320","2,755,236","2,755,236","2,125","72,494",,,,,,,,,,,
3,모아나 2,2024-11-27,"22,727,697,820",18.30%,"31,118,051,070","2,441,529","3,372,815","1,985","95,741",,,,,,,,,,,
4,위키드,2024-11-20,"9,685,624,650",7.80%,"20,277,702,850","987,630","2,059,163","1,151","44,301",,,,,,,,,,,
5,무파사: 라이온 킹,2024-12-18,"6,543,943,550",5.30%,"6,543,943,550","656,645","656,645","1,243","33,414",,,,,,,,,,,
6,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,"5,346,417,380",4.30%,"5,346,417,380","567,725","567,725",880,"22,814",,,,,,,,,,,
7,히든페이스,2024-11-20,"3,475,355,980",2.80%,"9,591,875,140","358,651","1,012,014",890,"27,177",,,,,,,,,,,
8,1승,2024-12-04,"2,669,515,130",2.10%,"2,813,553,530","307,290","322,017",995,"25,150",,,,,,,,,,,
9,대가족,2024-12-11,"2,689,332,800",2.20%,"2,796,081,600","303,326","316,473",939,"23,263",,,,,,,,,,,
10,서브스턴스,2024-12-11,"1,506,805,100",1.20%,"1,520,497,600","154,970","156,214",372,"7,685",,,,,,,,,,,
합계,,,"111,992,125,020",90.10%,"137,418,526,330","11,843,325","14,535,598","12,174","471,782",,,,,,,,,,,
